artwork,category,:TYPE
1,traditional_chinese_painting,BELONGS_TO_CATEGORY
2,sketching,BELONGS_TO_CATEGORY
3,oil_painting,BELONGS_TO_CATEGORY
4,oil_painting,BELONGS_TO_CATEGORY
5,traditional_chinese_painting,BELONGS_TO_CATEGORY
6,sketching,BELONGS_TO_CATEGORY
7,sketching,BELONGS_TO_CATEGORY
8,sketching,BELONGS_TO_CATEGORY
9,oil_painting,BELONGS_TO_CATEGORY
10,traditional_chinese_painting,BELONGS_TO_CATEGORY
11,traditional_chinese_painting,BELONGS_TO_CATEGORY
12,sketching,BELONGS_TO_CATEGORY
13,oil_painting,BELONGS_TO_CATEGORY
14,traditional_chinese_painting,BELONGS_TO_CATEGORY
15,sketching,BELONGS_TO_CATEGORY
16,oil_painting,BELONGS_TO_CATEGORY
17,sketching,BELONGS_TO_CATEGORY
18,sketching,BELONGS_TO_CATEGORY
19,oil_painting,BELONGS_TO_CATEGORY
20,oil_painting,BELONGS_TO_CATEGORY
21,sketching,BELONGS_TO_CATEGORY
22,sketching,BELONGS_TO_CATEGORY
23,sketching,BELONGS_TO_CATEGORY
24,sketching,BELONGS_TO_CATEGORY
25,traditional_chinese_painting,BELONGS_TO_CATEGORY
26,oil_painting,BELONGS_TO_CATEGORY
27,traditional_chinese_painting,BELONGS_TO_CATEGORY
28,traditional_chinese_painting,BELONGS_TO_CATEGORY
29,traditional_chinese_painting,BELONGS_TO_CATEGORY
30,oil_painting,BELONGS_TO_CATEGORY
31,traditional_chinese_painting,BELONGS_TO_CATEGORY
32,traditional_chinese_painting,BELONGS_TO_CATEGORY
33,traditional_chinese_painting,BELONGS_TO_CATEGORY
34,sketching,BELONGS_TO_CATEGORY
35,sketching,BELONGS_TO_CATEGORY
36,oil_painting,BELONGS_TO_CATEGORY
37,oil_painting,BELONGS_TO_CATEGORY
38,sketching,BELONGS_TO_CATEGORY
39,oil_painting,BELONGS_TO_CATEGORY
40,oil_painting,BELONGS_TO_CATEGORY
41,sketching,BELONGS_TO_CATEGORY
42,sketching,BELONGS_TO_CATEGORY
43,sketching,BELONGS_TO_CATEGORY
44,sketching,BELONGS_TO_CATEGORY
45,oil_painting,BELONGS_TO_CATEGORY
46,traditional_chinese_painting,BELONGS_TO_CATEGORY
47,sketching,BELONGS_TO_CATEGORY
48,oil_painting,BELONGS_TO_CATEGORY
49,sketching,BELONGS_TO_CATEGORY
50,oil_painting,BELONGS_TO_CATEGORY
51,oil_painting,BELONGS_TO_CATEGORY
52,oil_painting,BELONGS_TO_CATEGORY
53,traditional_chinese_painting,BELONGS_TO_CATEGORY
54,sketching,BELONGS_TO_CATEGORY
55,traditional_chinese_painting,BELONGS_TO_CATEGORY
56,oil_painting,BELONGS_TO_CATEGORY
57,oil_painting,BELONGS_TO_CATEGORY
58,traditional_chinese_painting,BELONGS_TO_CATEGORY
59,traditional_chinese_painting,BELONGS_TO_CATEGORY
60,oil_painting,BELONGS_TO_CATEGORY
61,traditional_chinese_painting,BELONGS_TO_CATEGORY
62,oil_painting,BELONGS_TO_CATEGORY
63,traditional_chinese_painting,BELONGS_TO_CATEGORY
64,sketching,BELONGS_TO_CATEGORY
65,oil_painting,BELONGS_TO_CATEGORY
66,sketching,BELONGS_TO_CATEGORY
67,oil_painting,BELONGS_TO_CATEGORY
68,traditional_chinese_painting,BELONGS_TO_CATEGORY
69,oil_painting,BELONGS_TO_CATEGORY
70,oil_painting,BELONGS_TO_CATEGORY
71,sketching,BELONGS_TO_CATEGORY
72,sketching,BELONGS_TO_CATEGORY
73,sketching,BELONGS_TO_CATEGORY
74,sketching,BELONGS_TO_CATEGORY
75,oil_painting,BELONGS_TO_CATEGORY
