artwork,dimension,level,reason,:TYPE
1,theme_and_logic,Very Good,The strokes used in the picture are very regular,HAS_LEVEL
1,layout_and_composition,Good,,HAS_LEVEL
1,space_and_perspective,Average,"Insufficient levels of distant, medium, and close shots",HAS_LEVEL
1,sense_of_order,Good,,HAS_LEVEL
1,light_and_shadow,Good,,HAS_LEVEL
1,color,Average,The colors are also very regular but insufficient color levels.,HAS_LEVEL
1,details_and_texture,Good,,HAS_LEVEL
1,overall,Good,The composition of the picture is rigid and lacks variation,HAS_LEVEL
1,mood,Good,Creating a strong sense of artistic conception,HAS_LEVEL
2,theme_and_logic,Average,,HAS_LEVEL
2,layout_and_composition,Good,Each side of the picture is good,HAS_LEVEL
2,space_and_perspective,Good,,HAS_LEVEL
2,sense_of_order,Average,,HAS_LEVEL
2,light_and_shadow,Average,,HAS_LEVEL
2,details_and_texture,Average,The brushstrokes are skilled,HAS_LEVEL
2,overall,Average,making it a great landscape painting,HAS_LEVEL
2,mood,Good,,HAS_LEVEL
3,theme_and_logic,Good,,HAS_LEVEL
3,creativity,Average,,HAS_LEVEL
3,layout_and_composition,Good,,HAS_LEVEL
3,sense_of_order,Good,,HAS_LEVEL
3,color,Good,,HAS_LEVEL
3,details_and_texture,Good,,HAS_LEVEL
3,overall,Good,,HAS_LEVEL
3,mood,Good,,HAS_LEVEL
4,theme_and_logic,Excellent,,HAS_LEVEL
4,layout_and_composition,Excellent,,HAS_LEVEL
4,space_and_perspective,Excellent,,HAS_LEVEL
4,sense_of_order,Excellent,,HAS_LEVEL
4,light_and_shadow,Excellent,,HAS_LEVEL
4,color,Excellent,,HAS_LEVEL
4,details_and_texture,Excellent,,HAS_LEVEL
4,overall,Excellent,,HAS_LEVEL
4,mood,Excellent,,HAS_LEVEL
5,theme_and_logic,Very Good,,HAS_LEVEL
5,layout_and_composition,Good,the composition is full,HAS_LEVEL
5,space_and_perspective,Very Good,the spatial sense is layered,HAS_LEVEL
5,sense_of_order,Good,the brushstrokes are very regular,HAS_LEVEL
5,light_and_shadow,Very Good,,HAS_LEVEL
5,color,Very Good,"the color tone is stable but not ostentatious, the colors are also very standard",HAS_LEVEL
5,details_and_texture,Very Good,the details are rich,HAS_LEVEL
5,overall,Good,,HAS_LEVEL
5,mood,Good,the artistic conception is very strong,HAS_LEVEL
6,theme_and_logic,Below Average,unclear themes,HAS_LEVEL
6,creativity,Below Average,,HAS_LEVEL
6,layout_and_composition,Below Average,The composition layout is relatively simple,HAS_LEVEL
6,sense_of_order,Below Average,single black and white hierarchy,HAS_LEVEL
