artwork,style,:TYPE
1,meticulous,BELONGS_TO_STYLE
2,classicism,BELONGS_TO_STYLE
3,romanticism,BELONGS_TO_STYLE
4,symbolism,BELONGS_TO_STYLE
5,meticulous,BELONGS_TO_STYLE
6,romanticism,BELONGS_TO_STYLE
7,romanticism,BELONGS_TO_STYLE
8,romanticism,BELONGS_TO_STYLE
9,classicism,BELONGS_TO_STYLE
10,meticulous,BELONGS_TO_STYLE
11,meticulous,BELONGS_TO_STYLE
12,symbolism,BELONGS_TO_STYLE
13,romanticism,BELONGS_TO_STYLE
14,meticulous,BELONGS_TO_STYLE
15,classicism,BELONGS_TO_STYLE
16,romanticism,BELONGS_TO_STYLE
17,classicism,BELONGS_TO_STYLE
18,symbolism,BELONGS_TO_STYLE
19,classicism,BELONGS_TO_STYLE
20,romanticism,BELONGS_TO_STYLE
21,romanticism,BELONGS_TO_STYLE
22,romanticism,BELONGS_TO_STYLE
23,symbolism,BELONGS_TO_STYLE
24,romanticism,BELONGS_TO_STYLE
25,freehand,BELONGS_TO_STYLE
26,romanticism,BELONGS_TO_STYLE
27,freehand,BELONGS_TO_STYLE
28,freehand,BELONGS_TO_STYLE
29,meticulous,BELONGS_TO_STYLE
30,symbolism,BELONGS_TO_STYLE
31,meticulous,BELONGS_TO_STYLE
32,meticulous,BELONGS_TO_STYLE
33,freehand,BELONGS_TO_STYLE
34,symbolism,BELONGS_TO_STYLE
35,symbolism,BELONGS_TO_STYLE
36,classicism,BELONGS_TO_STYLE
37,classicism,BELONGS_TO_STYLE
38,classicism,BELONGS_TO_STYLE
39,romanticism,BELONGS_TO_STYLE
40,classicism,BELONGS_TO_STYLE
41,symbolism,BELONGS_TO_STYLE
42,romanticism,BELONGS_TO_STYLE
43,romanticism,BELONGS_TO_STYLE
44,romanticism,BELONGS_TO_STYLE
45,classicism,BELONGS_TO_STYLE
46,meticulous,BELONGS_TO_STYLE
47,romanticism,BELONGS_TO_STYLE
48,romanticism,BELONGS_TO_STYLE
49,classicism,BELONGS_TO_STYLE
50,romanticism,BELONGS_TO_STYLE
51,romanticism,BELONGS_TO_STYLE
52,classicism,BELONGS_TO_STYLE
53,freehand,BELONGS_TO_STYLE
54,romanticism,BELONGS_TO_STYLE
55,meticulous,BELONGS_TO_STYLE
