artwork,subject,:TYPE
1,mountains_and_water,BELONGS_TO_SUBJECT
2,still_life,BELONGS_TO_SUBJECT
3,landscapes,BELONGS_TO_SUBJECT
4,still_life,BELONGS_TO_SUBJECT
5,mountains_and_water,BELONGS_TO_SUBJECT
6,landscapes,BELONGS_TO_SUBJECT
7,landscapes,BELONGS_TO_SUBJECT
8,portraiture,BELONGS_TO_SUBJECT
9,still_life,BELONGS_TO_SUBJECT
10,mountains_and_water,BELONGS_TO_SUBJECT
11,portraiture,BELONGS_TO_SUBJECT
12,landscapes,BELONGS_TO_SUBJECT
13,still_life,BELONGS_TO_SUBJECT
14,mountains_and_water,BELONGS_TO_SUBJECT
15,still_life,BELONGS_TO_SUBJECT
16,portraiture,BELONGS_TO_SUBJECT
17,landscapes,BELONGS_TO_SUBJECT
18,still_life,BELONGS_TO_SUBJECT
19,portraiture,BELONGS_TO_SUBJECT
20,landscapes,BELONGS_TO_SUBJECT
21,portraiture,BELONGS_TO_SUBJECT
22,portraiture,BELONGS_TO_SUBJECT
23,portraiture,BELONGS_TO_SUBJECT
24,landscapes,BELONGS_TO_SUBJECT
25,mountains_and_water,BELONGS_TO_SUBJECT
26,landscapes,BELONGS_TO_SUBJECT
27,mountains_and_water,BELONGS_TO_SUBJECT
28,floral_and_avian,BELONGS_TO_SUBJECT
29,floral_and_avian,BELONGS_TO_SUBJECT
30,still_life,BELONGS_TO_SUBJECT
31,portraiture,BELONGS_TO_SUBJECT
32,floral_and_avian,BELONGS_TO_SUBJECT
33,portraiture,BELONGS_TO_SUBJECT
34,landscapes,BELONGS_TO_SUBJECT
35,portraiture,BELONGS_TO_SUBJECT
36,landscapes,BELONGS_TO_SUBJECT
37,still_life,BELONGS_TO_SUBJECT
38,portraiture,BELONGS_TO_SUBJECT
39,landscapes,BELONGS_TO_SUBJECT
40,portraiture,BELONGS_TO_SUBJECT
41,portraiture,BELONGS_TO_SUBJECT
42,portraiture,BELONGS_TO_SUBJECT
43,still_life,BELONGS_TO_SUBJECT
44,still_life,BELONGS_TO_SUBJECT
45,still_life,BELONGS_TO_SUBJECT
46,floral_and_avian,BELONGS_TO_SUBJECT
47,portraiture,BELONGS_TO_SUBJECT
48,landscapes,BELONGS_TO_SUBJECT
49,still_life,BELONGS_TO_SUBJECT
50,landscapes,BELONGS_TO_SUBJECT
51,landscapes,BELONGS_TO_SUBJECT
52,landscapes,BELONGS_TO_SUBJECT
53,portraiture,BELONGS_TO_SUBJECT
54,still_life,BELONGS_TO_SUBJECT
55,floral_and_avian,BELONGS_TO_SUBJECT
56,still_life,BELONGS_TO_SUBJECT
57,landscapes,BELONGS_TO_SUBJECT
58,floral_and_avian,BELONGS_TO_SUBJECT
59,mountains_and_water,BELONGS_TO_SUBJECT
60,portraiture,BELONGS_TO_SUBJECT
61,floral_and_avian,BELONGS_TO_SUBJECT
62,still_life,BELONGS_TO_SUBJECT
63,mountains_and_water,BELONGS_TO_SUBJECT
64,portraiture,BELONGS_TO_SUBJECT
65,still_life,BELONGS_TO_SUBJECT
66,portraiture,BELONGS_TO_SUBJECT
67,landscapes,BELONGS_TO_SUBJECT
68,mountains_and_water,BELONGS_TO_SUBJECT
69,portraiture,BELONGS_TO_SUBJECT
70,landscapes,BELONGS_TO_SUBJECT
71,landscapes,BELONGS_TO_SUBJECT
72,still_life,BELONGS_TO_SUBJECT
73,still_life,BELONGS_TO_SUBJECT
74,landscapes,BELONGS_TO_SUBJECT
75,portraiture,BELONGS_TO_SUBJECT
76,mountains_and_water,BELONGS_TO_SUBJECT
77,portraiture,BELONGS_TO_SUBJECT
78,portraiture,BELONGS_TO_SUBJECT
79,still_life,BELONGS_TO_SUBJECT
80,portraiture,BELONGS_TO_SUBJECT
81,portraiture,BELONGS_TO_SUBJECT
82,landscapes,BELONGS_TO_SUBJECT
83,portraiture,BELONGS_TO_SUBJECT
84,portraiture,BELONGS_TO_SUBJECT
85,still_life,BELONGS_TO_SUBJECT
86,still_life,BELONGS_TO_SUBJECT
87,landscapes,BELONGS_TO_SUBJECT
88,mountains_and_water,BELONGS_TO_SUBJECT
89,mountains_and_water,BELONGS_TO_SUBJECT
90,landscapes,BELONGS_TO_SUBJECT
91,still_life,BELONGS_TO_SUBJECT
92,floral_and_avian,BELONGS_TO_SUBJECT
93,landscapes,BELONGS_TO_SUBJECT
94,still_life,BELONGS_TO_SUBJECT
95,mountains_and_water,BELONGS_TO_SUBJECT
96,portraiture,BELONGS_TO_SUBJECT
97,floral_and_avian,BELONGS_TO_SUBJECT
98,landscapes,BELONGS_TO_SUBJECT
99,floral_and_avian,BELONGS_TO_SUBJECT
100,portraiture,BELONGS_TO_SUBJECT
101,landscapes,BELONGS_TO_SUBJECT
102,landscapes,BELONGS_TO_SUBJECT
103,mountains_and_water,BELONGS_TO_SUBJECT
104,landscapes,BELONGS_TO_SUBJECT
105,portraiture,BELONGS_TO_SUBJECT
106,landscapes,BELONGS_TO_SUBJECT
107,landscapes,BELONGS_TO_SUBJECT
108,still_life,BELONGS_TO_SUBJECT
109,still_life,BELONGS_TO_SUBJECT
110,landscapes,BELONGS_TO_SUBJECT
111,still_life,BELONGS_TO_SUBJECT
112,landscapes,BELONGS_TO_SUBJECT
113,mountains_and_water,BELONGS_TO_SUBJECT
114,still_life,BELONGS_TO_SUBJECT
115,portraiture,BELONGS_TO_SUBJECT
116,landscapes,BELONGS_TO_SUBJECT
117,portraiture,BELONGS_TO_SUBJECT
118,portraiture,BELONGS_TO_SUBJECT
119,landscapes,BELONGS_TO_SUBJECT
120,still_life,BELONGS_TO_SUBJECT
121,still_life,BELONGS_TO_SUBJECT
122,landscapes,BELONGS_TO_SUBJECT
123,portraiture,BELONGS_TO_SUBJECT
124,still_life,BELONGS_TO_SUBJECT
125,still_life,BELONGS_TO_SUBJECT
126,still_life,BELONGS_TO_SUBJECT
127,portraiture,BELONGS_TO_SUBJECT
128,portraiture,BELONGS_TO_SUBJECT
129,floral_and_avian,BELONGS_TO_SUBJECT
130,portraiture,BELONGS_TO_SUBJECT
131,landscapes,BELONGS_TO_SUBJECT
132,landscapes,BELONGS_TO_SUBJECT
133,landscapes,BELONGS_TO_SUBJECT
134,portraiture,BELONGS_TO_SUBJECT
135,portraiture,BELONGS_TO_SUBJECT
136,landscapes,BELONGS_TO_SUBJECT
137,still_life,BELONGS_TO_SUBJECT
138,landscapes,BELONGS_TO_SUBJECT
139,floral_and_avian,BELONGS_TO_SUBJECT
140,portraiture,BELONGS_TO_SUBJECT
141,portraiture,BELONGS_TO_SUBJECT
142,still_life,BELONGS_TO_SUBJECT
143,floral_and_avian,BELONGS_TO_SUBJECT
144,floral_and_avian,BELONGS_TO_SUBJECT
145,landscapes,BELONGS_TO_SUBJECT
146,still_life,BELONGS_TO_SUBJECT
147,portraiture,BELONGS_TO_SUBJECT
148,landscapes,BELONGS_TO_SUBJECT
149,floral_and_avian,BELONGS_TO_SUBJECT
150,portraiture,BELONGS_TO_SUBJECT
151,floral_and_avian,BELONGS_TO_SUBJECT
152,portraiture,BELONGS_TO_SUBJECT
153,portraiture,BELONGS_TO_SUBJECT
154,portraiture,BELONGS_TO_SUBJECT
155,still_life,BELONGS_TO_SUBJECT
156,landscapes,BELONGS_TO_SUBJECT
157,still_life,BELONGS_TO_SUBJECT
158,portraiture,BELONGS_TO_SUBJECT
159,landscapes,BELONGS_TO_SUBJECT
160,portraiture,BELONGS_TO_SUBJECT
161,still_life,BELONGS_TO_SUBJECT
162,mountains_and_water,BELONGS_TO_SUBJECT
163,landscapes,BELONGS_TO_SUBJECT
164,still_life,BELONGS_TO_SUBJECT
165,floral_and_avian,BELONGS_TO_SUBJECT
166,landscapes,BELONGS_TO_SUBJECT
167,landscapes,BELONGS_TO_SUBJECT
168,portraiture,BELONGS_TO_SUBJECT
169,landscapes,BELONGS_TO_SUBJECT
170,portraiture,BELONGS_TO_SUBJECT
171,portraiture,BELONGS_TO_SUBJECT
172,mountains_and_water,BELONGS_TO_SUBJECT
173,landscapes,BELONGS_TO_SUBJECT
174,still_life,BELONGS_TO_SUBJECT
175,portraiture,BELONGS_TO_SUBJECT
176,landscapes,BELONGS_TO_SUBJECT
177,landscapes,BELONGS_TO_SUBJECT
178,landscapes,BELONGS_TO_SUBJECT
179,still_life,BELONGS_TO_SUBJECT
180,portraiture,BELONGS_TO_SUBJECT
181,portraiture,BELONGS_TO_SUBJECT
182,mountains_and_water,BELONGS_TO_SUBJECT
183,landscapes,BELONGS_TO_SUBJECT
184,landscapes,BELONGS_TO_SUBJECT
185,portraiture,BELONGS_TO_SUBJECT
186,portraiture,BELONGS_TO_SUBJECT
187,landscapes,BELONGS_TO_SUBJECT
188,landscapes,BELONGS_TO_SUBJECT
189,portraiture,BELONGS_TO_SUBJECT
190,portraiture,BELONGS_TO_SUBJECT
191,mountains_and_water,BELONGS_TO_SUBJECT
192,still_life,BELONGS_TO_SUBJECT
193,landscapes,BELONGS_TO_SUBJECT
194,floral_and_avian,BELONGS_TO_SUBJECT
195,still_life,BELONGS_TO_SUBJECT
196,landscapes,BELONGS_TO_SUBJECT
197,landscapes,BELONGS_TO_SUBJECT
198,portraiture,BELONGS_TO_SUBJECT
199,still_life,BELONGS_TO_SUBJECT
200,still_life,BELONGS_TO_SUBJECT
201,portraiture,BELONGS_TO_SUBJECT
202,portraiture,BELONGS_TO_SUBJECT
203,mountains_and_water,BELONGS_TO_SUBJECT
204,still_life,BELONGS_TO_SUBJECT
205,mountains_and_water,BELONGS_TO_SUBJECT
206,landscapes,BELONGS_TO_SUBJECT
207,still_life,BELONGS_TO_SUBJECT
208,portraiture,BELONGS_TO_SUBJECT
209,landscapes,BELONGS_TO_SUBJECT
210,portraiture,BELONGS_TO_SUBJECT
211,still_life,BELONGS_TO_SUBJECT
212,landscapes,BELONGS_TO_SUBJECT
213,portraiture,BELONGS_TO_SUBJECT
214,still_life,BELONGS_TO_SUBJECT
215,landscapes,BELONGS_TO_SUBJECT
216,portraiture,BELONGS_TO_SUBJECT
217,portraiture,BELONGS_TO_SUBJECT
218,landscapes,BELONGS_TO_SUBJECT
219,landscapes,BELONGS_TO_SUBJECT
220,portraiture,BELONGS_TO_SUBJECT
221,floral_and_avian,BELONGS_TO_SUBJECT
222,still_life,BELONGS_TO_SUBJECT
223,portraiture,BELONGS_TO_SUBJECT
224,still_life,BELONGS_TO_SUBJECT
225,portraiture,BELONGS_TO_SUBJECT
226,landscapes,BELONGS_TO_SUBJECT
227,landscapes,BELONGS_TO_SUBJECT
228,portraiture,BELONGS_TO_SUBJECT
229,landscapes,BELONGS_TO_SUBJECT
230,still_life,BELONGS_TO_SUBJECT
231,still_life,BELONGS_TO_SUBJECT
232,still_life,BELONGS_TO_SUBJECT
233,landscapes,BELONGS_TO_SUBJECT
234,portraiture,BELONGS_TO_SUBJECT
235,landscapes,BELONGS_TO_SUBJECT
236,mountains_and_water,BELONGS_TO_SUBJECT
237,portraiture,BELONGS_TO_SUBJECT
238,portraiture,BELONGS_TO_SUBJECT
239,portraiture,BELONGS_TO_SUBJECT
240,mountains_and_water,BELONGS_TO_SUBJECT
241,landscapes,BELONGS_TO_SUBJECT
242,floral_and_avian,BELONGS_TO_SUBJECT
243,mountains_and_water,BELONGS_TO_SUBJECT
244,portraiture,BELONGS_TO_SUBJECT
245,still_life,BELONGS_TO_SUBJECT
246,portraiture,BELONGS_TO_SUBJECT
247,mountains_and_water,BELONGS_TO_SUBJECT
248,portraiture,BELONGS_TO_SUBJECT
249,portraiture,BELONGS_TO_SUBJECT
250,portraiture,BELONGS_TO_SUBJECT
251,still_life,BELONGS_TO_SUBJECT
252,landscapes,BELONGS_TO_SUBJECT
253,still_life,BELONGS_TO_SUBJECT
254,portraiture,BELONGS_TO_SUBJECT
255,mountains_and_water,BELONGS_TO_SUBJECT
256,still_life,BELONGS_TO_SUBJECT
257,still_life,BELONGS_TO_SUBJECT
258,still_life,BELONGS_TO_SUBJECT
259,portraiture,BELONGS_TO_SUBJECT
260,portraiture,BELONGS_TO_SUBJECT
261,still_life,BELONGS_TO_SUBJECT
262,portraiture,BELONGS_TO_SUBJECT
263,landscapes,BELONGS_TO_SUBJECT
264,portraiture,BELONGS_TO_SUBJECT
265,portraiture,BELONGS_TO_SUBJECT
266,landscapes,BELONGS_TO_SUBJECT
267,landscapes,BELONGS_TO_SUBJECT
268,portraiture,BELONGS_TO_SUBJECT
269,landscapes,BELONGS_TO_SUBJECT
270,portraiture,BELONGS_TO_SUBJECT
271,still_life,BELONGS_TO_SUBJECT
272,portraiture,BELONGS_TO_SUBJECT
273,portraiture,BELONGS_TO_SUBJECT
274,still_life,BELONGS_TO_SUBJECT
275,floral_and_avian,BELONGS_TO_SUBJECT
276,portraiture,BELONGS_TO_SUBJECT
277,still_life,BELONGS_TO_SUBJECT
278,landscapes,BELONGS_TO_SUBJECT
279,landscapes,BELONGS_TO_SUBJECT
280,mountains_and_water,BELONGS_TO_SUBJECT
281,floral_and_avian,BELONGS_TO_SUBJECT
282,portraiture,BELONGS_TO_SUBJECT
283,portraiture,BELONGS_TO_SUBJECT
284,portraiture,BELONGS_TO_SUBJECT
285,still_life,BELONGS_TO_SUBJECT
286,portraiture,BELONGS_TO_SUBJECT
287,still_life,BELONGS_TO_SUBJECT
288,landscapes,BELONGS_TO_SUBJECT
289,portraiture,BELONGS_TO_SUBJECT
290,landscapes,BELONGS_TO_SUBJECT
291,portraiture,BELONGS_TO_SUBJECT
292,landscapes,BELONGS_TO_SUBJECT
293,landscapes,BELONGS_TO_SUBJECT
294,landscapes,BELONGS_TO_SUBJECT
295,landscapes,BELONGS_TO_SUBJECT
296,portraiture,BELONGS_TO_SUBJECT
297,landscapes,BELONGS_TO_SUBJECT
298,landscapes,BELONGS_TO_SUBJECT
299,portraiture,BELONGS_TO_SUBJECT
